Epoch [57/100], Train Loss: 1.2538, Train Acc: 98.68%, Val Loss: 13.4342, Val Acc: 0.00%
Epoch [58/100], Train Loss: 1.1943, Train Acc: 98.31%, Val Loss: 13.4705, Val Acc: 0.00%
Epoch [59/100], Train Loss: 1.1380, Train Acc: 98.68%, Val Loss: 13.4999, Val Acc: 0.00%
Epoch [60/100], Train Loss: 1.0844, Train Acc: 99.06%, Val Loss: 13.5407, Val Acc: 0.00%
Epoch [61/100], Train Loss: 1.0313, Train Acc: 99.25%, Val Loss: 13.5653, Val Acc: 0.00%
Epoch [62/100], Train Loss: 0.9819, Train Acc: 98.87%, Val Loss: 13.6027, Val Acc: 0.00%
Epoch [63/100], Train Loss: 0.9338, Train Acc: 99.44%, Val Loss: 13.6330, Val Acc: 0.00%
Epoch [64/100], Train Loss: 0.8880, Train Acc: 99.44%, Val Loss: 13.6575, Val Acc: 0.00%
Epoch [65/100], Train Loss: 0.8437, Train Acc: 99.25%, Val Loss: 13.6925, Val Acc: 0.00%
Epoch [66/100], Train Loss: 0.8020, Train Acc: 99.25%, Val Loss: 13.7287, Val Acc: 0.00%
Epoch [67/100], Train Loss: 0.7628, Train Acc: 99.81%, Val Loss: 13.7592, Val Acc: 0.00%
Epoch [68/100], Train Loss: 0.7244, Train Acc: 99.62%, Val Loss: 13.7908, Val Acc: 0.00%
Epoch [69/100], Train Loss: 0.6881, Train Acc: 99.25%, Val Loss: 13.8113, Val Acc: 0.00%
Epoch [70/100], Train Loss: 0.6543, Train Acc: 99.25%, Val Loss: 13.8362, Val Acc: 0.00%
Epoch [71/100], Train Loss: 0.6209, Train Acc: 99.62%, Val Loss: 13.8640, Val Acc: 0.00%
Epoch [72/100], Train Loss: 0.5898, Train Acc: 99.81%, Val Loss: 13.8971, Val Acc: 0.00%
Epoch [73/100], Train Loss: 0.5601, Train Acc: 99.62%, Val Loss: 13.9253, Val Acc: 0.00%
Epoch [74/100], Train Loss: 0.5319, Train Acc: 99.81%, Val Loss: 13.9484, Val Acc: 0.00%
Epoch [75/100], Train Loss: 0.5053, Train Acc: 99.81%, Val Loss: 13.9732, Val Acc: 0.00%
Epoch [76/100], Train Loss: 0.4799, Train Acc: 99.62%, Val Loss: 14.0029, Val Acc: 0.00%
Epoch [77/100], Train Loss: 0.4555, Train Acc: 99.81%, Val Loss: 14.0186, Val Acc: 0.00%
Epoch [78/100], Train Loss: 0.4322, Train Acc: 99.62%, Val Loss: 14.0410, Val Acc: 0.00%
Epoch [79/100], Train Loss: 0.4106, Train Acc: 100.00%, Val Loss: 14.0635, Val Acc: 0.00%
Epoch [80/100], Train Loss: 0.3899, Train Acc: 100.00%, Val Loss: 14.0929, Val Acc: 0.00%
Epoch [81/100], Train Loss: 0.3703, Train Acc: 100.00%, Val Loss: 14.1131, Val Acc: 0.00%
Epoch [82/100], Train Loss: 0.3518, Train Acc: 100.00%, Val Loss: 14.1386, Val Acc: 0.00%
Epoch [83/100], Train Loss: 0.3348, Train Acc: 100.00%, Val Loss: 14.1600, Val Acc: 0.00%
Epoch [84/100], Train Loss: 0.3171, Train Acc: 99.81%, Val Loss: 14.1858, Val Acc: 0.00%
Epoch [85/100], Train Loss: 0.3019, Train Acc: 100.00%, Val Loss: 14.2038, Val Acc: 0.00%
Epoch [86/100], Train Loss: 0.2869, Train Acc: 100.00%, Val Loss: 14.2284, Val Acc: 0.00%
Epoch [87/100], Train Loss: 0.2724, Train Acc: 100.00%, Val Loss: 14.2460, Val Acc: 0.00%
Epoch [88/100], Train Loss: 0.2590, Train Acc: 100.00%, Val Loss: 14.2652, Val Acc: 0.00%
Epoch [89/100], Train Loss: 0.2464, Train Acc: 100.00%, Val Loss: 14.2881, Val Acc: 0.00%
Epoch [90/100], Train Loss: 0.2342, Train Acc: 100.00%, Val Loss: 14.3020, Val Acc: 0.00%
Epoch [91/100], Train Loss: 0.2229, Train Acc: 100.00%, Val Loss: 14.3253, Val Acc: 0.00%
Epoch [92/100], Train Loss: 0.2121, Train Acc: 100.00%, Val Loss: 14.3478, Val Acc: 0.00%
Epoch [93/100], Train Loss: 0.2019, Train Acc: 100.00%, Val Loss: 14.3672, Val Acc: 0.00%
Epoch [94/100], Train Loss: 0.1922, Train Acc: 100.00%, Val Loss: 14.3844, Val Acc: 0.00%
Epoch [95/100], Train Loss: 0.1829, Train Acc: 100.00%, Val Loss: 14.4099, Val Acc: 0.00%
Epoch [96/100], Train Loss: 0.1739, Train Acc: 100.00%, Val Loss: 14.4228, Val Acc: 0.00%
Epoch [97/100], Train Loss: 0.1660, Train Acc: 100.00%, Val Loss: 14.4435, Val Acc: 0.00%
Epoch [98/100], Train Loss: 0.1579, Train Acc: 100.00%, Val Loss: 14.4623, Val Acc: 0.00%
Epoch [99/100], Train Loss: 0.1502, Train Acc: 100.00%, Val Loss: 14.4764, Val Acc: 0.00%
Epoch [100/100], Train Loss: 0.1433, Train Acc: 100.00%, Val Loss: 14.4955, Val Acc: 0.00%
