Epoch [57/100], Train Loss: 0.1949, Train Acc: 95.30%, Val Loss: 23.1290, Val Acc: 0.75%
Epoch [58/100], Train Loss: 0.2396, Train Acc: 93.23%, Val Loss: 22.6318, Val Acc: 1.49%
Epoch [59/100], Train Loss: 0.1956, Train Acc: 94.36%, Val Loss: 24.3764, Val Acc: 1.49%
Epoch [60/100], Train Loss: 0.1068, Train Acc: 97.74%, Val Loss: 27.4877, Val Acc: 1.49%
Epoch [61/100], Train Loss: 0.1013, Train Acc: 97.56%, Val Loss: 23.2754, Val Acc: 1.49%
Epoch [62/100], Train Loss: 0.0716, Train Acc: 97.93%, Val Loss: 22.9561, Val Acc: 0.75%
Epoch [63/100], Train Loss: 0.0594, Train Acc: 98.31%, Val Loss: 25.1474, Val Acc: 1.49%
Epoch [64/100], Train Loss: 0.1127, Train Acc: 96.99%, Val Loss: 22.2671, Val Acc: 1.49%
Epoch [65/100], Train Loss: 0.1015, Train Acc: 97.93%, Val Loss: 25.1015, Val Acc: 1.49%
Epoch [66/100], Train Loss: 0.0499, Train Acc: 98.68%, Val Loss: 23.4846, Val Acc: 1.49%
Epoch [67/100], Train Loss: 0.0487, Train Acc: 98.31%, Val Loss: 25.3201, Val Acc: 1.49%
Epoch [68/100], Train Loss: 0.1094, Train Acc: 96.80%, Val Loss: 26.9385, Val Acc: 1.49%
Epoch [69/100], Train Loss: 0.2081, Train Acc: 94.17%, Val Loss: 24.0417, Val Acc: 0.75%
Epoch [70/100], Train Loss: 0.1310, Train Acc: 96.99%, Val Loss: 22.9487, Val Acc: 1.49%
Epoch [71/100], Train Loss: 0.0991, Train Acc: 97.56%, Val Loss: 25.0714, Val Acc: 1.49%
Epoch [72/100], Train Loss: 0.1023, Train Acc: 97.18%, Val Loss: 23.5506, Val Acc: 1.49%
Epoch [73/100], Train Loss: 0.1519, Train Acc: 95.30%, Val Loss: 21.7556, Val Acc: 0.75%
Epoch [74/100], Train Loss: 0.0663, Train Acc: 98.50%, Val Loss: 24.3305, Val Acc: 0.75%
Epoch [75/100], Train Loss: 0.0867, Train Acc: 98.31%, Val Loss: 24.3870, Val Acc: 0.75%
Epoch [76/100], Train Loss: 0.0580, Train Acc: 98.87%, Val Loss: 24.2181, Val Acc: 0.75%
Epoch [77/100], Train Loss: 0.0794, Train Acc: 97.93%, Val Loss: 25.0802, Val Acc: 0.75%
Epoch [78/100], Train Loss: 0.0881, Train Acc: 98.31%, Val Loss: 24.7716, Val Acc: 1.49%
Epoch [79/100], Train Loss: 0.0513, Train Acc: 98.31%, Val Loss: 23.3651, Val Acc: 0.75%
Epoch [80/100], Train Loss: 0.0263, Train Acc: 99.62%, Val Loss: 24.4659, Val Acc: 0.75%
Epoch [81/100], Train Loss: 0.0223, Train Acc: 99.44%, Val Loss: 24.6586, Val Acc: 0.75%
Epoch [82/100], Train Loss: 0.0130, Train Acc: 99.81%, Val Loss: 24.0661, Val Acc: 0.75%
Epoch [83/100], Train Loss: 0.0124, Train Acc: 99.44%, Val Loss: 25.3298, Val Acc: 0.75%
Epoch [84/100], Train Loss: 0.0108, Train Acc: 99.62%, Val Loss: 25.4506, Val Acc: 0.75%
Epoch [85/100], Train Loss: 0.0127, Train Acc: 99.62%, Val Loss: 24.4456, Val Acc: 0.75%
Epoch [86/100], Train Loss: 0.0859, Train Acc: 98.31%, Val Loss: 23.1242, Val Acc: 0.75%
Epoch [87/100], Train Loss: 0.1356, Train Acc: 96.43%, Val Loss: 26.0335, Val Acc: 0.75%
Epoch [88/100], Train Loss: 0.1801, Train Acc: 95.30%, Val Loss: 22.9758, Val Acc: 0.75%
Epoch [89/100], Train Loss: 0.0826, Train Acc: 97.74%, Val Loss: 24.2833, Val Acc: 0.75%
Epoch [90/100], Train Loss: 0.0625, Train Acc: 98.68%, Val Loss: 23.3073, Val Acc: 1.49%
Epoch [91/100], Train Loss: 0.0548, Train Acc: 98.68%, Val Loss: 22.2229, Val Acc: 1.49%
Epoch [92/100], Train Loss: 0.0256, Train Acc: 99.81%, Val Loss: 22.4526, Val Acc: 0.75%
Epoch [93/100], Train Loss: 0.0129, Train Acc: 99.62%, Val Loss: 23.3636, Val Acc: 0.75%
Epoch [94/100], Train Loss: 0.0089, Train Acc: 99.81%, Val Loss: 23.6918, Val Acc: 0.75%
Epoch [95/100], Train Loss: 0.0114, Train Acc: 99.81%, Val Loss: 22.4420, Val Acc: 0.75%
Epoch [96/100], Train Loss: 0.0161, Train Acc: 99.62%, Val Loss: 23.4647, Val Acc: 1.49%
Epoch [97/100], Train Loss: 0.0255, Train Acc: 99.44%, Val Loss: 22.9304, Val Acc: 0.75%
Epoch [98/100], Train Loss: 0.0281, Train Acc: 99.25%, Val Loss: 24.0975, Val Acc: 0.75%
Epoch [99/100], Train Loss: 0.0876, Train Acc: 97.93%, Val Loss: 25.8335, Val Acc: 0.75%
Epoch [100/100], Train Loss: 0.1131, Train Acc: 96.62%, Val Loss: 25.0658, Val Acc: 0.75%
